title,released_year,rated_class,run_time,stars,total_ratings,genre,summary
Past Lives,2023.0,PG,1h 45m,7.9,93K,Drama|Romance,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Barbie,2023.0,PG,1h 54m,6.9,502K,Adventure|Comedy|Fantasy,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
Godzilla x Kong: The New Empire,2024.0,PG-13,,,,Action|Adventure|Sci-Fi,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Irish Wish,2024.0,,1h 33m,,,Comedy|Fantasy|Romance,"When the love of Maddie's life gets engaged to her best friend, she puts her feelings aside to be a bridesmaid at their wedding in Ireland."
Lisa Frankenstein,2024.0,14A,1h 41m,6.3,5.5K,Comedy|Horror|Romance,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts."
Society of the Snow,2023.0,R,2h 24m,7.8,110K,Adventure|Biography|Drama,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.
No Way Up,2024.0,R,1h 30m,4.5,2.1K,Action|Adventure|Drama,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.
One Life,2023.0,PG,1h 50m,7.6,7.9K,Biography|Drama|History,"Sir Nicholas 'Nicky' Winton, a young London broker who, in the months leading up to World War II, rescued over 600 children from Nazi-occupied Czechoslovakia."
Boy Kills World,2023.0,R,1h 55m,6.4,330,Action|Thriller,"A dystopian fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death."
Joker: Folie à Deux,2024.0,,,,,Crime|Drama|Musical,"Sequel to the film ""Joker"" from 2019."
X,2022.0,16+,1h 45m,6.5,167K,Horror|Mystery|Thriller,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
The Color Purple,2023.0,PG,2h 21m,7.0,12K,Drama|Musical,"A woman faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood."
Teri Baaton Mein Aisa Uljha Jiya,2024.0,PG,2h 21m,7.0,42K,Comedy|Drama|Romance,"Aryan is not able to find a perfect life partner. He meets a perfect girl, Sifra, during an official assignment in the US and falls in love with her only to discover later that it's an impossible love story."
Civil War,2024.0,14A,1h 49m,,,Action,"At the height of a modern American civil war, two journalists and a young amateur photographer embark on a dangerous trip to Washington DC in an effort to interview the President."
The Last Airbender,2010.0,PG,1h 43m,4.0,172K,Action|Adventure|Family,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
The Hunger Games: The Ballad of Songbirds & Snakes,2023.0,PG,2h 37m,6.8,102K,Action|Adventure|Drama,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
Animal,2023.0,18A,3h 24m,6.3,83K,Action|Crime|Drama,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.
Challengers,2024.0,R,,,,Drama|Romance|Sport,"Tashi, a former tennis prodigy turned coach is married to a champion on a losing streak. Her strategy for her husband's redemption takes a surprising turn when he must face off against his former best friend and Tashi's former boyfriend."
The Fantastic Four,2025.0,,,,,Action|Adventure|Sci-Fi,"One of Marvel's most iconic families makes it back to the big screen, the Fantastic Four."
Crossroads,2002.0,PG,1h 33m,3.7,43K,Comedy|Drama|Romance,"Three childhood friends embark on a cross-country adventure to pursue dreams they once put aside, taking risks that are sure to change their lives forever."
Wicked,2024.0,,,,,Fantasy|Musical|Romance,"After two decades as one of the most beloved and enduring musicals on the stage, Wicked makes its long-awaited journey to the big screen as a spectacular, generation-defining cinematic event this holiday season."
How to Have Sex,2023.0,14A,1h 31m,6.5,11K,Drama,"Three British teenage girls go on a rites-of-passage holiday - drinking, clubbing and hooking up, in what should be the best summer of their lives."
Dune,1984.0,PG,2h 17m,6.3,172K,Action|Adventure|Sci-Fi,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.
Aquaman and the Lost Kingdom,2023.0,PG,2h 4m,5.7,62K,Action|Adventure|Fantasy,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom."
Leave the World Behind,2023.0,14A,2h 18m,6.5,183K,Drama|Mystery|Thriller,"A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices, and two strangers appear at their door."
Einstein and the Bomb,2024.0,TV-MA,1h 16m,6.2,2K,Documentary|History,"What happened after Einstein fled Nazi Germany? Using archival footage and his own words, this docudrama dives into the mind of a tortured genius."
Dunki,2023.0,14A,2h 40m,6.8,69K,Comedy|Drama,"When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission."
Once Upon a Time,2019.0,14A,2h 41m,7.6,835K,Comedy|Drama,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Migration,2023.0,PG,1h 23m,6.7,18K,Animation|Adventure|Comedy,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.
12th Fail,2023.0,PG,2h 27m,9.1,100K,Biography|Drama,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
Perfect Days,2023.0,PG,2h 4m,7.9,17K,Drama,"Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself."
Next Goal Wins,2023.0,PG,1h 44m,6.5,15K,Comedy|Drama|Sport,"The story of the infamously terrible American Samoa soccer team, known for a brutal 2001 FIFA match they lost 31-0."
The Shawshank Redemption,1994.0,14A,2h 22m,9.3,2.9M,Drama,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
The Creator,2023.0,PG,2h 13m,6.8,146K,Action|Adventure|Drama,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child."
Starship Troopers,1997.0,18A,2h 9m,7.3,317K,Action|Adventure|Sci-Fi,"Humans, in a fascist militaristic future, wage war with giant alien bugs."
Interstellar,2014.0,PG,2h 49m,8.7,2.1M,Adventure|Drama|Sci-Fi,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Maestro,2023.0,14A,2h 9m,6.6,52K,Biography|Drama|History,This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein.
Lights Out,2024.0,R,1h 30m,4.9,597,Action|Thriller,"A drifting ex-soldier turns underground fighter with the help of a just released ex-con, pitting them both against a crime boss, corrupt cops and hired killers."
