title,released_year,rated_class,run_time,stars,total_ratings,genre,summary
John Wick: Chapter 2,2017.0,14A,2h 2m,7.4,507K,Action|Crime|Thriller,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
Room in Rome,2010.0,18A,1h 47m,6.1,26K,Drama|Romance,A hotel room in the center of Rome serves as the setting for two young and recently acquainted women to have a physical adventure that touches their very souls.
West Side Story,2021.0,PG,2h 36m,7.1,94K,Crime|Drama|Musical,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds."
Ocean's Eleven,2001.0,PG,1h 56m,7.7,614K,Crime|Thriller,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
Crazy Rich Asians,2018.0,PG,2h,6.9,189K,Comedy|Drama|Romance,This contemporary romantic comedy based on a global bestseller follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.
The Adam Project,2022.0,PG,1h 46m,6.7,229K,Action|Adventure|Comedy,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future."
Four Weddings and a Funeral,1994.0,14A,1h 57m,7.1,165K,Comedy|Drama|Romance,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
Instant Family,2018.0,PG,1h 58m,7.3,118K,Comedy|Drama,A couple find themselves in over their heads when they foster three children.
Double Jeopardy,1999.0,14A,1h 45m,6.5,95K,Crime|Drama|Mystery,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him."
King Kong,2005.0,14A,3h 7m,7.2,444K,Action|Adventure|Romance,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives."
Kuch Khattaa Ho Jaay,2024.0,,2h 5m,7.9,4.9K,Comedy,"Heer and Iraa are in love, to escape familial pressure, they decide to tie the knot with Heer pledging to support Iraa's IAS aspirations. However, a misunderstanding leads both families to believe that they're expecting a child."
Silver Linings Playbook,2012.0,14A,2h 2m,7.7,739K,Comedy|Drama|Romance,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
Spellbound,1945.0,PG,1h 51m,7.5,52K,Film-Noir|Mystery|Romance,A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.
Silent Hill,2006.0,18A,2h 5m,6.5,243K,Horror|Mystery,"A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill."
Night at the Museum,2006.0,PG,1h 48m,6.5,375K,Adventure|Comedy|Family,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.
The Virgin Suicides,1999.0,14A,1h 37m,7.2,168K,Drama|Romance,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s."
Persuasion,2022.0,PG,1h 48m,5.8,35K,Drama|Romance,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?"
Magnolia,1999.0,18A,3h 8m,8.0,327K,Drama,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley."
Red Sparrow,2018.0,18A,2h 20m,6.6,200K,Action|Drama|Thriller,"Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations."
Avengers: Age of Ultron,2015.0,PG,2h 21m,7.3,916K,Action|Adventure|Sci-Fi,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
Beverly Hills Cop,1984.0,PG,1h 45m,7.4,200K,Action|Comedy|Crime,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.
Greenland,2020.0,13+,1h 59m,6.4,132K,Action|Thriller,A family struggles for survival in the face of a cataclysmic natural disaster.
In Time,2011.0,PG,1h 49m,6.7,443K,Action|Sci-Fi|Thriller,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
Saw,2004.0,16+,1h 43m,7.6,463K,Horror|Mystery|Thriller,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
Gone Baby Gone,2007.0,14A,1h 54m,7.6,291K,Crime|Drama|Mystery,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
Little Children,2006.0,18A,2h 17m,7.5,116K,Drama|Romance,"The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts."
Tusk,2014.0,14A,1h 42m,5.3,63K,Comedy|Horror,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.
Dances with Wolves,1990.0,PA,3h 1m,8.0,288K,Adventure|Drama|Western,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
Gangs of New York,2002.0,18A,2h 47m,7.5,470K,Crime|Drama,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
Indiana Jones and the Temple of Doom,1984.0,13+,1h 58m,7.5,532K,Action|Adventure,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace."
Licorice Pizza,2021.0,PG,2h 13m,7.1,139K,Comedy|Drama|Romance,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
The English Patient,1996.0,14A,2h 42m,7.4,199K,Drama|Romance|War,"At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair."
Doctor Sleep,2019.0,14A,2h 32m,7.3,216K,Drama|Fantasy|Horror,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal."
Room,2015.0,14A,1h 58m,8.1,447K,Drama|Thriller,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
Old,2021.0,14A,1h 48m,5.8,158K,Drama|Horror|Mystery,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day."
John Wick: Chapter 3 - Parabellum,2019.0,14A,2h 10m,7.4,421K,Action|Crime|Thriller,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere."
Dangerous Waters,2023.0,,1h 41m,5.3,1.3K,Thriller,A sailing holiday spirals out of control when a teenage daughter uncovers the dark past of her mother's new boyfriend.
Zero Dark Thirty,2012.0,14A,2h 37m,7.4,317K,Drama|History|Thriller,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
Before Sunrise,1995.0,PG,1h 41m,8.1,336K,Drama|Romance,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
TRON: Legacy,2010.0,PG,2h 5m,6.8,354K,Action|Adventure|Sci-Fi,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
The Place Beyond the Pines,2012.0,14A,2h 20m,7.3,288K,Crime|Drama|Thriller,"A motorcycle stunt rider turns to robbing banks as a way to provide for his ex and their newborn, a decision that sets him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
Rear Window,1954.0,PG,1h 52m,8.5,519K,Mystery|Thriller,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
Mission: Impossible III,2006.0,14A,2h 6m,6.9,388K,Action|Adventure|Thriller,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.
"Love, Simon",2018.0,PG,1h 50m,7.5,125K,Comedy|Drama,"Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity."
Speak No Evil,2022.0,Not Rated,1h 37m,6.6,36K,Drama|Horror|Thriller,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.
Mamma Mia! Here We Go Again,2018.0,PG,1h 54m,6.6,108K,Comedy|Musical|Romance,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
Pretty in Pink,1986.0,PG,1h 37m,6.7,88K,Comedy|Drama|Romance,A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.
Jumanji: The Next Level,2019.0,PG,2h 3m,6.7,280K,Action|Adventure|Comedy,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game."
Legends of the Fall,1994.0,14A,2h 13m,7.5,181K,Drama|Romance|War,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
The Barefoot Contessa,1954.0,PG,2h 8m,6.9,13K,Crime|Drama|Mystery,"This is the life of a Hollywood movie star named Maria, as told by writer/director Harry Dawes, from being discovered in Madrid, Spain, until her funeral in Italy."
The Human Centipede (First Sequence),2009.0,18A,1h 32m,4.4,87K,Horror,"A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums."
In Bruges,2008.0,18A,1h 47m,7.9,459K,Comedy|Crime|Drama,"After a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
Chicken Run: Dawn of the Nugget,2023.0,PG,1h 38m,6.4,21K,Animation|Adventure|Comedy,"Having pulled off an escape from Tweedy's farm, Ginger has found a peaceful island sanctuary for the whole flock. But back on the mainland the whole of chicken-kind faces a new threat, and Ginger and her team decide to break in."
Daddio,2023.0,R,1h 41m,7.4,121,Drama,A woman taking a cab ride from JFK engages in a conversation with the taxi driver about the important relationships in their lives.
The Vow,2012.0,PG,1h 44m,6.8,204K,Drama|Romance,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again."
The Hobbit: The Desolation of Smaug,2013.0,PG,2h 41m,7.8,700K,Adventure|Drama|Fantasy,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
Sherlock Holmes,2009.0,PG,2h 8m,7.6,667K,Action|Adventure|Mystery,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
Palm Springs,2020.0,16+,1h 30m,7.4,180K,Comedy|Fantasy|Mystery,"Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again."
God & Country,2024.0,PG-13,1h 30m,4.2,310,Documentary,"Looks at the implications of Christian Nationalism and how it distorts not only the constitutional republic, but Christianity itself."
The Predator,2018.0,18A,1h 47m,5.3,143K,Action|Adventure|Horror,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race."
Labyrinth,1986.0,PG,1h 41m,7.3,148K,Adventure|Family|Fantasy,Sixteen-year-old Sarah must solve a labyrinth to rescue her baby brother when he is taken by the Goblin King.
Burn After Reading,2008.0,14A,1h 36m,7.0,351K,Comedy|Crime|Drama,A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.
The Butterfly Effect,2004.0,18A,1h 53m,7.6,518K,Drama|Sci-Fi|Thriller,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
Bosco,2024.0,TV-MA,1h 39m,5.7,2.3K,Drama|Thriller,"Based on the story of Quawntay 'Bosco"" Adams, sentenced to 35 years for attempted possession of marijuana. With the help of a woman from a lonely-hearts ad, he escapes to see his daughter but is forced to take responsibility for his past."
Femme,2023.0,,1h 39m,7.5,1.3K,Thriller,"Follows Jules, who is targeted in a horrific homophobic attack, destroying his life and career. Some time after that event he encounters Preston, one of his attackers, in a gay sauna. He wants revenge."
Birdman or (The Unexpected Virtue of Ignorance),2014.0,14A,1h 59m,7.7,663K,Comedy|Drama,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
Ayalaan,2024.0,PG,2h 35m,6.1,2.9K,Action|Adventure|Sci-Fi,"A lost alien seeks help to go back to his home, but everything gets harder after the alien returns to its home."
Good Grief,2023.0,R,1h 40m,6.4,9.1K,Comedy|Drama|Romance,"When his husband unexpectedly dies, Marc's world shatters, sending him and his two best friends on a soul-searching trip to Paris that reveals some hard truths they each needed to face."
Scary Movie,2000.0,18A,1h 28m,6.3,284K,Comedy,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
The Hitman's Bodyguard,2017.0,14A,1h 58m,6.9,246K,Action|Comedy|Crime,"One of the world's top bodyguards gets a new client, a world class hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial alive and on time."
Predestination,2014.0,14A,1h 37m,7.4,303K,Action|Drama|Sci-Fi,"As his last assignment, a temporal agent is tasked to travel back in time and prevent a bomb attack in New York in 1975. The hunt, however, turns out to be beyond the bounds of possibility."
The Circle,2017.0,PG,1h 50m,5.4,100K,Drama|Mystery|Sci-Fi,"A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity."
Inside Man,2006.0,14A,2h 9m,7.6,395K,Crime|Drama|Mystery,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
The Perfect Storm,2000.0,14A,2h 10m,6.5,177K,Action|Adventure|Drama,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.
Red Notice,2021.0,PG,1h 58m,6.3,314K,Action|Comedy|Thriller,An Interpol agent successfully tracks down the world's most wanted art thief with help from a rival thief. But nothing is as it seems as a series of double-crosses ensues.
A Rainy Day in New York,2019.0,PG-13,1h 32m,6.5,51K,Comedy|Romance,A young couple arrives in New York for a weekend where they are met with bad weather and a series of adventures.
Adventures in Babysitting,1987.0,PG,1h 42m,6.9,49K,Adventure|Comedy|Crime,A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.
Sonic the Hedgehog 2,2022.0,PG,2h 2m,6.5,86K,Action|Adventure|Comedy,"When the manic Dr. Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way."
It Chapter Two,2019.0,14A,2h 49m,6.5,299K,Drama|Fantasy|Horror,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back."
Moulin Rouge!,2001.0,PG,2h 7m,7.6,298K,Drama|Musical|Romance,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.
Incredibles 2,2018.0,PG,1h 58m,7.5,328K,Animation|Action|Adventure,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
Aladdin,2019.0,PG,2h 8m,6.9,288K,Adventure|Comedy|Family,"Aladdin, a kind thief, woos Jasmine, the princess of Agrabah, with the help of Genie. When Jafar, the grand vizier, tries to usurp the king, Jasmine, Aladdin and Genie must stop him from succeeding."
Belfast,2021.0,PG,1h 38m,7.2,91K,Biography|Drama|Romance,A young boy and his working-class Belfast family experience the tumultuous late 1960s.
Martyrs,2008.0,R,1h 39m,7.0,105K,Horror,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.xd"
The Power of the Dog,2021.0,14A,2h 6m,6.8,192K,Drama|Western,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love."
Mr,2023.0,TV-PG,1h 37m,6.8,7.2K,Comedy|Crime|Mystery,"It follows Monk, a brilliant detective with obsessive-compulsive disorder. He returns to solve one last case involving his stepdaughter Molly, a journalist preparing for her wedding."
Spectre,2015.0,PG,2h 28m,6.8,464K,Action|Adventure|Thriller,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions."
Last Flag Flying,2017.0,14A,2h 5m,6.9,28K,Comedy|Drama|War,"Thirty years after they served together in Vietnam, a former Navy Corpsman Larry ""Doc"" Shepherd re-unites with his old buddies, former Marines Sal Nealon and Reverend Richard Mueller, to bury his son, a young Marine killed in the Iraq War."
The Boy in the Striped Pajamas,2008.0,PG,1h 34m,7.7,244K,Drama|War,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
Taken,2008.0,14A,1h 30m,7.8,631K,Action|Crime|Thriller,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
Jurassic World: Fallen Kingdom,2018.0,PG,2h 8m,6.1,341K,Action|Adventure|Sci-Fi,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."
The Nun II,2023.0,14A,1h 50m,5.6,56K,Horror|Mystery|Thriller,"1956 - France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit follows Sister Irene as she once again comes face-to-face with Valak, the demon nun."
Coraline,2009.0,PG,1h 40m,7.7,261K,Animation|Drama|Family,"Wandering her rambling old house in her boring new town, an 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice."
The 'Burbs,1989.0,PG,1h 42m,6.8,83K,Comedy|Mystery|Thriller,An overstressed suburbanite and his neighbors are convinced that the new family on the block is part of a murderous Satanic cult.
Lady Macbeth,2016.0,14A,1h 29m,6.8,27K,Drama|Romance,"In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate."
Weird: The Al Yankovic Story,2022.0,TV-14,1h 48m,6.9,38K,Comedy|Crime|Music,"Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle."
Pearl Harbor,2001.0,PG,3h 3m,6.2,350K,Action|Drama|History,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
The Platform,2019.0,TV-MA,1h 34m,7.0,268K,Horror|Sci-Fi|Thriller,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.
Fantastic Mr,2009.0,PG,1h 27m,7.9,267K,Animation|Adventure|Comedy,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
The Other Guys,2010.0,14A,1h 47m,6.6,286K,Action|Comedy|Crime,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned."
The Pale Blue Eye,2022.0,14A,2h 8m,6.6,123K,Crime|Horror|Mystery,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe."
Cinderella,2015.0,G,1h 45m,6.9,189K,Adventure|Drama|Family,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
9 Songs,2004.0,R,1h 11m,4.7,24K,Drama|Music|Romance,"In London, intense sexual encounters take place between an American college student, named Lisa, and an English scientist, named Matt, between attending rock concerts."
The French Dispatch,2021.0,14A,1h 47m,7.1,149K,Comedy|Drama|Romance,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine""."
The Amazing Spider-Man,2012.0,PG,2h 16m,6.9,697K,Action|Adventure|Sci-Fi,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
The Tomorrow War,2021.0,PG-13,2h 18m,6.6,226K,Action|Adventure|Drama,A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.
Ghost,1990.0,14A,2h 7m,7.1,234K,Drama|Fantasy|Romance,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
Portrait of a Lady on Fire,2019.0,PG,2h 2m,8.1,108K,Drama|Romance,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
Underworld,2003.0,18A,2h 1m,7.0,284K,Action|Fantasy|Thriller,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons."
Kung Fu Panda 3,2016.0,G,1h 35m,7.1,183K,Animation|Action|Adventure,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home."
Jack Reacher: Never Go Back,2016.0,14A,1h 58m,6.1,174K,Action|Crime|Drama,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.
"Paris, Texas",1984.0,PG,2h 25m,8.1,117K,Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
When Harry Met Sally,1989.0,14A,1h 35m,7.7,240K,Comedy|Drama|Romance,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
Gran Torino,2008.0,14A,1h 56m,8.1,811K,Drama,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
Pirates of the Caribbean: On Stranger Tides,2011.0,PG,2h 17m,6.6,560K,Action|Adventure|Fantasy,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
The Meg,2018.0,14A,1h 53m,5.7,206K,Action|Horror|Sci-Fi,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.
Gods of Egypt,2016.0,PG,2h 7m,5.4,125K,Action|Adventure|Drama,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict."
The Princess and the Frog,2009.0,G,1h 37m,7.1,165K,Animation|Adventure|Comedy,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
Interstate 60,2002.0,R,1h 56m,7.6,36K,Adventure|Comedy|Drama,"Neal Oliver, a very confused young artist, takes a journey of a lifetime on a highway that doesn't exist on any map, going to places he's never heard of, searching for an answer and his dream girl."
Dawn of the Dead,2004.0,18A,1h 41m,7.3,271K,Action|Horror,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall."
Highlander,1986.0,R,1h 56m,7.0,146K,Action|Adventure|Fantasy,"An immortal Scottish swordsman must confront the last of his immortal opponents, a murderously brutal barbarian who lusts for the fabled ""Prize""."
The Warriors,1979.0,18A,1h 33m,7.5,110K,Action|Crime|Thriller,A street gang known as The Warriors must fight their way from the Bronx to their home turf on Coney Island when they are falsely accused of assassinating a respected gang leader.
Holes,2003.0,PG,1h 57m,7.0,99K,Adventure|Comedy|Drama,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.
Terminator: Dark Fate,2019.0,14A,2h 8m,6.2,192K,Action|Adventure|Sci-Fi,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race."
The Green Inferno,2013.0,R,1h 40m,5.3,49K,Adventure|Horror,"A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished."
The Postcard Killings,2020.0,13+,1h 44m,5.8,15K,Crime|Drama|Mystery,A New York detective investigates the death of his daughter who was murdered while on her honeymoon in London; he recruits the help of a Scandinavian journalist when other couples throughout Europe suffer a similar fate.
Cannibal Holocaust,1980.0,R,1h 35m,5.8,61K,Adventure|Horror,"During a rescue mission into the Amazon rainforest, a professor stumbles across lost film shot by a missing documentary crew."
Snack Shack,2024.0,R,,,,Comedy,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance."
Spotlight,2015.0,14A,2h 9m,8.1,499K,Biography|Crime|Drama,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
Sonic the Hedgehog,2020.0,PG,1h 39m,6.5,157K,Action|Adventure|Comedy,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him."
Cocktail,1988.0,PA,1h 44m,5.9,91K,Comedy|Drama|Romance,A talented New York City bartender takes a job at a bar in Jamaica and falls in love.
Rush,2013.0,14A,2h 3m,8.1,510K,Action|Biography|Drama,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
The NeverEnding Story,1984.0,PG,1h 42m,7.3,156K,Adventure|Drama|Family,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.
Us,2019.0,14A,1h 56m,6.8,338K,Horror|Mystery|Thriller,"Adelaide Wilson and her family are attacked by mysterious figures dressed in red. Upon closer inspection, the Wilsons realize that the intruders are exact lookalikes of them."
The Descendants,2011.0,14A,1h 55m,7.3,251K,Comedy|Drama,A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.
The Lost Daughter,2021.0,14A,2h 1m,6.7,74K,Drama,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.
Margin Call,2011.0,14A,1h 47m,7.1,143K,Drama|Thriller,Follows the key people at an investment bank over a 24-hour period during the early stages of the 2008 financial crisis.
The Last of the Mohicans,1992.0,14A,1h 52m,7.7,186K,Action|Adventure|Drama,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
Resident Evil,2002.0,18A,1h 40m,6.6,286K,Action|Horror|Sci-Fi,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident."
F9: The Fast Saga,2021.0,PG,2h 23m,5.2,160K,Action|Crime|Thriller,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.
Brothers,2009.0,14A,1h 45m,7.1,145K,Drama|Thriller|War,"While on tour in Afghanistan, Sam's helicopter is shot down and he is presumed dead. Back home, it is his screw-up brother who looks after the family. Sam does return, but with a lot of excess baggage."
Father Stu,2022.0,14A,2h 4m,6.5,29K,Biography|Drama,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption."
Juno,2007.0,14A,1h 36m,7.5,547K,Comedy|Drama,"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child."
Hit Man,2023.0,R,1h 55m,7.7,881,Action|Comedy,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services."
